¦  (\u00a6) 55390 := BROKEN BAR
ῆ  (\u1fc6)    55 := GREEK SMALL LETTER ETA WITH PERISPOMENI
ῇ  (\u1fc7)     3 := GREEK SMALL LETTER ETA WITH PERISPOMENI AND YPOGEGRAMMENI
῏  (\u1fcf)     1 := GREEK PSILI AND PERISPOMENI
ῐ  (\u1fd0)     4 := GREEK SMALL LETTER IOTA WITH VRACHY
ῑ  (\u1fd1)     5 := GREEK SMALL LETTER IOTA WITH MACRON
ῖ  (\u1fd6)    72 := GREEK SMALL LETTER IOTA WITH PERISPOMENI
ῠ  (\u1fe0)     1 := GREEK SMALL LETTER UPSILON WITH VRACHY
ῡ  (\u1fe1)    12 := GREEK SMALL LETTER UPSILON WITH MACRON
ῤ  (\u1fe4)    15 := GREEK SMALL LETTER RHO WITH PSILI
ῥ  (\u1fe5)    62 := GREEK SMALL LETTER RHO WITH DASIA
ῦ  (\u1fe6)    66 := GREEK SMALL LETTER UPSILON WITH PERISPOMENI
ῴ  (\u1ff4)     1 := GREEK SMALL LETTER OMEGA WITH OXIA AND YPOGEGRAMMENI
ῶ  (\u1ff6)    36 := GREEK SMALL LETTER OMEGA WITH PERISPOMENI
ῷ  (\u1ff7)     1 := GREEK SMALL LETTER OMEGA WITH PERISPOMENI AND YPOGEGRAMMENI
—  (\u2014) 60405 := EM DASH
‘  (\u2018) 12347 := LEFT SINGLE QUOTATION MARK
’  (\u2019) 12189 := RIGHT SINGLE QUOTATION MARK
“  (\u201c)    10 := LEFT DOUBLE QUOTATION MARK
”  (\u201d)    10 := RIGHT DOUBLE QUOTATION MARK
†  (\u2020)    31 := DAGGER
′  (\u2032)     2 := PRIME
∪  (\u222a)     9 := UNION
